Group,Gene
4,Os08g0496900
4,Os01g0105400
4,Os02g0229000
4,Os11g0515500
4,Os01g0811100
4,Os08g0478200
4,Os05g0579000
4,Os01g0624000
4,Os12g0236700
4,Os10g0457600
4,Os06g0247800
5,Os09g0439700
5,Os06g0119600
5,Os03g0586300
5,Os07g0587100
5,Os06g0138600
5,Os10g0363100
5,Os05g0209100
5,Os08g0503800
5,Os11g0592300
5,Os01g0642000
5,Os02g0437800
5,Os02g0755000
5,Os05g0123100
5,Os07g0573700
5,Os04g0652500
5,Os03g0145300
5,Os02g0741300
5,Os04g0636100
5,Os06g0143900
5,Os01g0858900
5,Os04g0487100
5,Os02g0722300
5,Os06g0649700
5,Os07g0195200
5,Os01g0703600
5,Os11g0107600
5,Os09g0416700
5,Os08g0472600
5,Os03g0710900
5,Os04g0612600
5,Os05g0472200
5,Os01g0147300
5,Os03g0711400
5,Os12g0425600
5,Os12g0639700
5,Os06g0488600
5,Os07g0567050
5,Os07g0567000
5,Os12g0554400
5,Os06g0623050
5,Os06g0622800
5,Os11g0174000
5,Os11g0546100
5,Os02g0321800
5,Os08g0451000
5,Os08g0395300
5,Os02g0805000
5,Os05g0452900
5,Os02g0768200
5,Os11g0490100
5,Os02g0613100
5,Os04g0650366
5,Os04g0650300
5,Os09g0415700
5,Os02g0172600
5,Os05g0543100
5,Os03g0711500
5,Os07g0501800
5,Os03g0849600
5,Os01g0232400
5,Os03g0775200
5,Os03g0667500
5,Os03g0582000
5,Os05g0378800
5,Os10g0569300
5,Os01g0744400
5,Os01g0867900
5,Os07g0208500
5,Os05g0503000
5,Os10g0561200
5,Os11g0284900
5,Os05g0176100
5,Os02g0209100
5,Os07g0620300
5,Os11g0602900
5,Os10g0377400
5,Os02g0527900
5,Os03g0246800
5,Os04g0477500
5,Os10g0477100
5,Os03g0730800
5,Os03g0305800
5,Os04g0551300
5,Os07g0476500
5,Os05g0391200
5,Os09g0557700
5,Os05g0552500
5,Os03g0144800
5,Os03g0803900
5,Os09g0539100
5,Os03g0225600
5,Os02g0809800
5,Os01g0880200
5,Os03g0126100
5,Os01g0281400
5,Os01g0232800
5,Os06g0593100
5,Os04g0502200
5,Os01g0802850
5,Os02g0274900
5,Os01g0906200
5,Os08g0109100
5,Os03g0702700
5,Os04g0570800
5,Os01g0331900
5,Os09g0127800
5,Os02g0638900
5,Os01g0106200
5,Os04g0417800
5,Os06g0687900
5,Os02g0118400
5,Os04g0212200
5,Os08g0248900
5,Os06g0665800
5,Os01g0179200
5,Os10g0180000
5,Os01g0926400
5,Os05g0494500
5,Os01g0846600
5,Os06g0708500
5,Os04g0597000
5,Os02g0595100
5,Os06g0167100
5,Os05g0154800
5,Os05g0154700
5,Os07g0564750
5,Os07g0564700
5,Os03g0287800
5,Os01g0963300
5,Os09g0498800
5,Os07g0693700
5,Os05g0529300
5,Os04g0681400
5,Os04g0398600
5,Os01g0883900
5,Os08g0323700
5,Os01g0867700
5,Os06g0180000
5,Os01g0834200
5,Os10g0368400
5,Os03g0804300
5,Os02g0209000
5,Os10g0346600
5,Os02g0797700
5,Os02g0594900
5,Os08g0277900
5,Os11g0546500
5,Os02g0697800
5,Os06g0154500
5,Os07g0564600
5,Os12g0538900
5,Os06g0687400
5,Os08g0386700
5,Os12g0641400
5,Os05g0474400
5,Os01g0329400
5,Os03g0417900
5,Os11g0572400
5,Os07g0437000
5,Os05g0346100
5,Os07g0194800
5,Os10g0393100
5,Os01g0850100
5,Os08g0496900
5,Os09g0548100
5,Os09g0548066
5,Os09g0548034
5,Os11g0124900
5,Os03g0803600
6,Os09g0439700
6,Os06g0119600
